threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.31,0.9037199124726477,0.6674623318024333,0.7205242602398921,0.8958333333333334,0.3412698412698413,0.4942528735632184,0.9041570438799076,0.9936548223350253,0.9467956469165659,43,83,5,783,CatBoost_ModelA,1,2020-2021
0.32,0.9048140043763676,0.6747643219724438,0.7278896200556417,0.8823529411764706,0.35714285714285715,0.5084745762711864,0.9061413673232909,0.9923857868020305,0.9473046638400969,45,81,6,782,CatBoost_ModelA,1,2020-2021
0.33,0.9026258205689278,0.6734952864394489,0.7244105958918728,0.8490566037735849,0.35714285714285715,0.5027932960893855,0.9059233449477352,0.9898477157360406,0.9460278956943602,45,81,8,780,CatBoost_ModelA,1,2020-2021
0.34,0.9026258205689278,0.6734952864394489,0.7244105958918728,0.8490566037735849,0.35714285714285715,0.5027932960893855,0.9059233449477352,0.9898477157360406,0.9460278956943602,45,81,8,780,CatBoost_ModelA,1,2020-2021
0.35,0.9026258205689278,0.6734952864394489,0.7244105958918728,0.8490566037735849,0.35714285714285715,0.5027932960893855,0.9059233449477352,0.9898477157360406,0.9460278956943602,45,81,8,780,CatBoost_ModelA,1,2020-2021
0.36,0.9026258205689278,0.6768290226412054,0.7271248243080505,0.8363636363636363,0.36507936507936506,0.5082872928176796,0.9068684516880093,0.9885786802030457,0.9459623557984214,46,80,9,779,CatBoost_ModelA,1,2020-2021
0.37,0.9059080962800875,0.6887337845459673,0.7401486300645298,0.8448275862068966,0.3888888888888889,0.532608695652174,0.9100467289719626,0.9885786802030457,0.9476885644768857,49,77,9,779,CatBoost_ModelA,1,2020-2021
0.38,0.9048140043763676,0.6880992667794699,0.7383889062525704,0.8305084745762712,0.3888888888888889,0.5297297297297298,0.9099415204678363,0.9873096446700508,0.9470480827754109,49,77,10,778,CatBoost_ModelA,1,2020-2021
0.39,0.9080962800875274,0.7000040286842317,0.7509859885832901,0.8387096774193549,0.4126984126984127,0.5531914893617021,0.9131455399061033,0.9873096446700508,0.948780487804878,52,74,10,778,CatBoost_ModelA,1,2020-2021
0.4,0.9059080962800875,0.7020687293529934,0.7497580480847597,0.803030303030303,0.42063492063492064,0.5520833333333334,0.9139150943396226,0.983502538071066,0.9474327628361858,53,73,13,775,CatBoost_ModelA,1,2020-2021
0.41,0.9004376367614879,0.698896140520506,0.7411385372867694,0.7464788732394366,0.42063492063492064,0.5380710659898477,0.9134045077105575,0.9771573604060914,0.944206008583691,53,73,18,770,CatBoost_ModelA,1,2020-2021
0.42,0.9015317286652079,0.7028643944887599,0.7451199107640825,0.75,0.42857142857142855,0.5454545454545454,0.9144893111638955,0.9771573604060914,0.9447852760736196,54,72,18,770,CatBoost_ModelA,1,2020-2021
0.43,0.9048140043763676,0.7147691563935219,0.7568457650285756,0.76,0.4523809523809524,0.5671641791044776,0.9177592371871275,0.9771573604060914,0.9465273509526736,57,69,18,770,CatBoost_ModelA,1,2020-2021
0.44,0.9080962800875274,0.7300076545000402,0.77022254677792,0.7625,0.48412698412698413,0.5922330097087378,0.9220623501199041,0.9758883248730964,0.9482120838471023,61,65,19,769,CatBoost_ModelA,1,2020-2021
0.45,0.9080962800875274,0.7333413907017968,0.7721509971509972,0.7560975609756098,0.49206349206349204,0.5961538461538461,0.9230769230769231,0.9746192893401016,0.9481481481481482,62,64,20,768,CatBoost_ModelA,1,2020-2021
0.46,0.9091903719912473,0.7406433808718073,0.7776527241659266,0.7529411764705882,0.5079365079365079,0.6066350710900474,0.9252110977080821,0.9733502538071066,0.9486703772418058,64,62,21,767,CatBoost_ModelA,1,2020-2021
